tweet_id,favorite_count,retweet_count
857029823797047296,19262,4137
856602993587888130,0,11052
856543823941562368,16554,2978
856526610513747968,12054,1942
856330835276025856,0,702
856288084350160898,527,17
856282028240666624,28240,6543
855862651834028034,352,28
855860136149123072,5146,1068
855857698524602368,12082,2191
855851453814013952,46327,18343
855818117272018944,27140,5632
855459453768019968,30576,8531
855245323840757760,0,6215
855138241867124737,0,48
854732716440526848,23377,6362
854482394044301312,30039,7163
854365224396361728,19365,4888
854120357044912130,32770,7816
854010172552949760,16619,3296
853760880890318849,29357,6067
853639147608842240,35821,10610
853299958564483072,15955,3739
852936405516943360,0,2109
852912242202992640,9321,1928
852672615818899456,15363,2263
852553447878664193,16867,3694
852311364735569921,34138,10387
852226086759018497,20623,7148
852189679701164033,11825,1666
851953902622658560,0,10151
851861385021730816,0,23
851591660324737024,16734,3656
851464819735769094,25089,7455
851224888060895234,21373,6034
850753642995093505,32100,9799
850380195714523136,13516,2764
850333567704068097,3551,352
850145622816686080,16910,4048
850019790995546112,21198,5177
849776966551130114,31592,8038
849668094696017920,0,5249
849412302885593088,16462,3326
849336543269576704,11846,1997
849051919805034497,44103,9031
848690551926992896,26182,4578
848324959059550208,25712,4884
848213670039564288,8484,794
848212111729840128,16963,3262
847978865427394560,0,3460
847971574464610304,0,457
847962785489326080,24453,5415
847842811428974592,5702,1428
847617282490613760,7293,451
847606175596138505,19543,3608
847251039262605312,21289,4567
847157206088847362,20795,6225
847116187444137987,22312,3395
846874817362120707,20942,4180
846514051647705089,46567,12358
846505985330044928,14743,3295
846153765933735936,33078,9659
846139713627017216,32198,10512
846042936437604353,16675,3083
845812042753855489,30597,9330
845677943972139009,26217,5100
845397057150107648,7969,1935
845306882940190720,24355,5754
845098359547420673,0,8180
844979544864018432,14253,2756
844973813909606400,15802,3437
844704788403113984,40483,11052
844580511645339650,17229,3363
844223788422217728,14259,2347
843981021012017153,15819,3123
843856843873095681,22401,4949
843604394117681152,17682,2947
843235543001513987,22488,6479
842846295480000512,15929,3849
842765311967449089,7072,1363
842535590457499648,18962,3751
842163532590374912,25651,6215
842115215311396866,14684,3247
841833993020538882,0,16450
841680585030541313,26879,8311
841439858740625411,13249,3934
841320156043304961,20717,5824
841314665196081154,16602,5032
841077006473256960,24022,5698
840761248237133825,0,1885
840728873075638272,0,17401
840698636975636481,189,2
840696689258311684,12912,1053
840632337062862849,9417,1885
840370681858686976,17289,4895
840268004936019968,20256,6162
839990271299457024,14123,2471
839549326359670784,28939,8371
839290600511926273,0,154
839239871831150596,28607,7034
838952994649550848,20630,4275
838921590096166913,11753,2234
838916489579200512,0,36
838831947270979586,0,11911
838561493054533637,11487,1426
838476387338051585,23783,5195
838201503651401729,0,10885
838150277551247360,1769,354
838085839343206401,149,0
838083903487373313,18570,3397
837820167694528512,36016,8480
837482249356513284,4039,476
837471256429613056,13478,2476
837366284874571778,22265,5713
837110210464448512,16885,2589
836989968035819520,13411,2477
836753516572119041,20269,4981
836677758902222849,13290,2397
836648853927522308,0,592
836397794269200385,0,29827
836380477523124226,15514,3194
836260088725786625,22419,4632
836001077879255040,20161,4635
835685285446955009,0,8824
835574547218894849,18777,3915
835536468978302976,0,1842
835309094223372289,0,22730
835297930240217089,17313,3235
835264098648616962,8175,1842
835246439529840640,2204,78
835172783151792128,27594,6215
835152434251116546,23701,3261
834931633769889797,11445,1789
834786237630337024,22330,5924
834574053763584002,14466,2744
834477809192075265,0,11556
834458053273591808,10168,1813
834209720923721728,21774,5185
834167344700198914,16648,3934
834089966724603904,10613,2302
834086379323871233,13804,2404
833863086058651648,14168,2605
833826103416520705,16212,3728
833732339549220864,0,234
833722901757046785,21865,3478
833479644947025920,15706,2243
833124694597443584,21344,5249
832998151111966721,14060,2404
832769181346996225,0,40
832757312314028032,17791,3935
832682457690300417,12557,3187
832645525019123713,3088,563
832636094638288896,16779,3036
832397543355072512,12642,2414
832369877331693569,18144,3460
832273440279240704,11964,2529
832215909146226688,0,6718
832215726631055365,0,10180
832088576586297345,70,2
832040443403784192,0,10558
832032802820481025,18864,5049
831939777352105988,25401,6665
831926988323639298,361,35
831911600680497154,29270,7076
831670449226514432,11061,1971
831650051525054464,7603,2109
831552930092285952,9536,2489
831322785565769729,9733,1662
831315979191906304,6904,1213
831309418084069378,12419,2653
831262627380748289,12614,2230
830956169170665475,8448,1626
830583320585068544,70922,18311
830173239259324417,0,6205
830097400375152640,10413,3272
829878982036299777,0,5457
829861396166877184,12962,2130
829501995190984704,33686,11556
829449946868879360,11098,2205
829374341691346946,36722,10151
829141528400556032,26005,8073
829011960981237760,56224,17654
828801551087042563,0,3703
828770345708580865,27137,6401
828708714936930305,38865,12238
828650029636317184,10091,1469
828409743546925057,6676,1253
828408677031882754,8119,1400
828381636999917570,13406,2423
828376505180889089,7843,1158
828372645993398273,13300,3204
828361771580813312,2329,184
828046555563323392,12493,3120
828011680017821696,11010,2341
827933404142436356,21396,5698
827653905312006145,16387,3280
827600520311402496,7867,1034
827324948884643840,16876,3344
827199976799354881,11244,2449
826958653328592898,22925,5457
826848821049180160,38784,11156
826615380357632002,0,4309
826598799820865537,5437,277
826598365270007810,10713,2561
826476773533745153,19591,4580
826240494070030336,14114,2822
826204788643753985,5187,1018
826115272272650244,16680,3425
825876512159186944,11129,2042
825829644528148480,13555,2717
825535076884762624,55394,18782
825147591692263424,19481,4999
825120256414846976,0,1403
825026590719483904,6755,1403
824796380199809024,0,6004
824775126675836928,15930,3854
824663926340194305,10723,1897
824325613288833024,12540,11352
824297048279236611,16026,4229
824025158776213504,5085,646
823939628516474880,11351,2966
823719002937630720,0,12288
823699002998870016,13405,2648
823581115634085888,13898,2894
823333489516937216,743,29
823322678127919110,16765,4396
823269594223824897,0,10788
822975315408461824,18433,3766
822872901745569793,141102,48017
